rank;rank_w;institution;link;institution_2;score;authors;author_shares;from_url
25;[24];Urban and Regional Research Centre Utrecht (URU), Faculteit Ruimtelijke Wetenschappen, Universiteit UtrechtUtrecht, Netherlands;http://edirc.repec.org/data/uruuunl.html;Urban and Regional Research Centre Utrecht (URU), Faculteit Ruimtelijke Wetenschappen, Universiteit Utrecht;45.64;7;5.63;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Vakgroep Econometrie, Faculteit Economie en Bedrijfskunde, Rijksuniversiteit GroningenGroningen, Netherlands;http://edirc.repec.org/data/verugnl.html;Vakgroep Econometrie, Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen;47.14;2;1.05;http://ideas.repec.org/top/top.netherlands.html;
26;[26];Institute for Environmental Studies (IVM), Vrije UniversiteitAmsterdam, Netherlands;http://edirc.repec.org/data/ivmvunl.html;Institute for Environmental Studies (IVM), Vrije Universiteit;49.19;12;7.88;http://ideas.repec.org/top/top.netherlands.html;
27;[27];Leerstoelgroep Milieu-economie en natuurlijke hulpbronnen, Wageningen Universiteit en ResearchcentrumWageningen, Netherlands;http://edirc.repec.org/data/mewaunl.html;Leerstoelgroep Milieu-economie en natuurlijke hulpbronnen, Wageningen Universiteit en Researchcentrum;49.62;7;5.08;http://ideas.repec.org/top/top.netherlands.html;
28;[28];Centraal Bureau voor de Statistiek (CBS), Government of the NetherlandsHeerlen, Netherlands;http://edirc.repec.org/data/cbsgvnl.html;Centraal Bureau voor de Statistiek (CBS), Government of the Netherlands;50.47;7;6.4;http://ideas.repec.org/top/top.netherlands.html;
29;[29];Duisenberg School of FinanceAmsterdam, Netherlands;http://edirc.repec.org/data/duisfnl.html;Duisenberg School of Finance;51.11;1;0.98;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Afdeling Kwantitatieve Economie, Faculteit Economie en Bedrijfskunde, Universiteit van AmsterdamAmsterdam, Netherlands;http://edirc.repec.org/data/keuvanl.html;Afdeling Kwantitatieve Economie, Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam;51.44;7;4;http://ideas.repec.org/top/top.netherlands.html;
30;[30];Economische Geografie/Vastgoedkunde, Faculteit der Ruimtelijke Wetenschappen, Rijksuniversiteit GroningenGroningen, Netherlands;http://edirc.repec.org/data/dgrugnl.html;Economische Geografie/Vastgoedkunde, Faculteit der Ruimtelijke Wetenschappen, Rijksuniversiteit Groningen;51.5;5;3.32;http://ideas.repec.org/top/top.netherlands.html;
1;[1];Monash Business School, Monash UniversityMelbourne, Australia;http://edirc.repec.org/data/fbmonau.html;Monash Business School, Monash University;1;148;141.59;http://ideas.repec.org/top/top.australia.html;
---;[---];Department of Economics, Monash Business School, Monash UniversityMelbourne, Australia;http://edirc.repec.org/data/demonau.html;Department of Economics, Monash Business School, Monash University;2.87;63;60.66;http://ideas.repec.org/top/top.australia.html;
2;[2];Crawford School of Public Policy, Australian National UniversityCanberra, Australia;http://edirc.repec.org/data/asanuau.html;Crawford School of Public Policy, Australian National University;3.18;156;94.98;http://ideas.repec.org/top/top.australia.html;
3;[3];School of Economics, University of QueenslandBrisbane, Australia;http://edirc.repec.org/data/decuqau.html;School of Economics, University of Queensland;3.69;80;72.86;http://ideas.repec.org/top/top.australia.html;
4;[4];UNSW Business School, UNSW (Australia)Sydney, Australia;http://edirc.repec.org/data/fcnswau.html;UNSW Business School, UNSW (Australia);3.91;83;74.23;http://ideas.repec.org/top/top.australia.html;
5;[5];Faculty of Business and Economics, University of MelbourneMelbourne, Australia;http://edirc.repec.org/data/femelau.html;Faculty of Business and Economics, University of Melbourne;5.18;95;82.01;http://ideas.repec.org/top/top.australia.html;
---;[---];School of Economics, UNSW Business School, UNSW (Australia)Sydney, Australia;http://edirc.repec.org/data/senswau.html;School of Economics, UNSW Business School, UNSW (Australia);8.32;50;43.72;http://ideas.repec.org/top/top.australia.html;
6;[6];School of Economics, Faculty of Arts and Social Sciences, University of SydneySydney, Australia;http://edirc.repec.org/data/deusyau.html;School of Economics, Faculty of Arts and Social Sciences, University of Sydney;8.52;58;54.95;http://ideas.repec.org/top/top.australia.html;
7;[7];College of Business and Economics, Australian National UniversityCanberra, Australia;http://edirc.repec.org/data/feanuau.html;College of Business and Economics, Australian National University;8.8;49;44.27;http://ideas.repec.org/top/top.australia.html;
8;[9];Business School, University of Technology SydneySydney, Australia;http://edirc.repec.org/data/bsutsau.html;Business School, University of Technology Sydney;9.51;82;77.77;http://ideas.repec.org/top/top.australia.html;
9;[8];Business School, Deakin UniversityMelbourne, Australia;http://edirc.repec.org/data/bsdeaau.html;Business School, Deakin University;9.56;57;55.69;http://ideas.repec.org/top/top.australia.html;
---;[---];Research School of Economics, College of Business and Economics, Australian National UniversityCanberra, Australia;http://edirc.repec.org/data/eganuau.html;Research School of Economics, College of Business and Economics, Australian National University;10.57;42;37.77;http://ideas.repec.org/top/top.australia.html;
---;[---];Department of Econometrics and Business Statistics, Monash Business School, Monash UniversityMelbourne, Australia;http://edirc.repec.org/data/dxmonau.html;Department of Econometrics and Business Statistics, Monash Business School, Monash University;13.49;33;31.58;http://ideas.repec.org/top/top.australia.html;
---;[---];Department of Economics, Faculty of Business and Economics, University of MelbourneMelbourne, Australia;http://edirc.repec.org/data/demelau.html;Department of Economics, Faculty of Business and Economics, University of Melbourne;13.97;44;40.13;http://ideas.repec.org/top/top.australia.html;
---;[---];Melbourne Institute of Applied Economic and Social Research (MIAESR), Faculty of Business and Economics, University of MelbourneMelbourne, Australia;http://edirc.repec.org/data/mimelau.html;Melbourne Institute of Applied Economic and Social Research (MIAESR), Faculty of Business and Economics, University of Melbourne;15.08;43;33.37;http://ideas.repec.org/top/top.australia.html;
---;[---];Centre for Applied Macroeconomic Analysis (CAMA), Crawford School of Public Policy, Australian National UniversityCanberra, Australia;http://edirc.repec.org/data/cmanuau.html;Centre for Applied Macroeconomic Analysis (CAMA), Crawford School of Public Policy, Australian National University;15.55;66;17.91;http://ideas.repec.org/top/top.australia.html;
---;[---];Economics Discipline Group, Business School, University of Technology SydneySydney, Australia;http://edirc.repec.org/data/edutsau.html;Economics Discipline Group, Business School, University of Technology Sydney;16.63;31;29.56;http://ideas.repec.org/top/top.australia.html;
---;[---];Department of Economics, Business School, Deakin UniversityMelbourne, Australia;http://edirc.repec.org/data/sedeaau.html;Department of Economics, Business School, Deakin University;16.86;46;45.48;http://ideas.repec.org/top/top.australia.html;
10;[10];Business School, University of SydneySydney, Australia;http://edirc.repec.org/data/sbsydau.html;Business School, University of Sydney;17.29;30;28.87;http://ideas.repec.org/top/top.australia.html;
11;[11];School of Economics, University of AdelaideAdelaide, Australia;http://edirc.repec.org/data/decadau.html;School of Economics, University of Adelaide;19.47;32;28.55;http://ideas.repec.org/top/top.australia.html;
---;[---];Arndt-Corden Department of Economics, Crawford School of Public Policy, Australian National UniversityCanberra, Australia;http://edirc.repec.org/data/dpanuau.html;Arndt-Corden Department of Economics, Crawford School of Public Policy, Australian National University;20.52;28;22.52;http://ideas.repec.org/top/top.australia.html;
---;[---];School of Banking and Finance, UNSW Business School, UNSW (Australia)Sydney, Australia;http://edirc.repec.org/data/sbnswau.html;School of Banking and Finance, UNSW Business School, UNSW (Australia);21.3;13;12.61;http://ideas.repec.org/top/top.australia.html;
12;[12];Curtin Business School, Curtin UniversityPerth, Australia;http://edirc.repec.org/data/cbscuau.html;Curtin Business School, Curtin University;23.57;34;33.01;http://ideas.repec.org/top/top.australia.html;
---;[---];Finance Discipline Group, Business School, University of Technology SydneySydney, Australia;http://edirc.repec.org/data/sfutsau.html;Finance Discipline Group, Business School, University of Technology Sydney;25.95;42;39.77;http://ideas.repec.org/top/top.australia.html;
---;[---];Institute of Transport and Logistics Studies (ITLS), Business School, University of SydneySydney, Australia;http://edirc.repec.org/data/itusyau.html;Institute of Transport and Logistics Studies (ITLS), Business School, University of Sydney;27.06;14;13.49;http://ideas.repec.org/top/top.australia.html;
---;[---];Centre for Efficiency and Productivity Analysis (CEPA), School of Economics, University of QueenslandBrisbane, Australia;http://edirc.repec.org/data/ceuneau.html;Centre for Efficiency and Productivity Analysis (CEPA), School of Economics, University of Queensland;27.22;8;4.26;http://ideas.repec.org/top/top.australia.html;
---;[---];Centre for Health Economics, Monash Business School, Monash UniversityMelbourne, Australia;http://edirc.repec.org/data/chmonau.html;Centre for Health Economics, Monash Business School, Monash University;28.12;19;17.43;http://ideas.repec.org/top/top.australia.html;
13;[14];Griffith Business School, Griffith UniversityBrisbane, Australia;http://edirc.repec.org/data/bsgriau.html;Griffith Business School, Griffith University;28.7;36;35.23;http://ideas.repec.org/top/top.australia.html;
14;[13];Centre of Policy Studies and Impact Project (COPS), Victoria UniversityMelbourne, Australia;http://edirc.repec.org/data/cpmonau.html;Centre of Policy Studies and Impact Project (COPS), Victoria University;29.6;29;25.75;http://ideas.repec.org/top/top.australia.html;
15;[15];Business School, Queensland University of TechnologyBrisbane, Australia;http://edirc.repec.org/data/fbqutau.html;Business School, Queensland University of Technology;29.99;35;27.99;http://ideas.repec.org/top/top.australia.html;
16;[18];Reserve Bank of AustraliaSydney, Australia;http://edirc.repec.org/data/rbagvau.html;Reserve Bank of Australia;30.74;14;13.16;http://ideas.repec.org/top/top.australia.html;
17;[17];Business School, University of Western AustraliaPerth, Australia;http://edirc.repec.org/data/bsuwaau.html;Business School, University of Western Australia;31.12;16;13.5;http://ideas.repec.org/top/top.australia.html;
---;[---];Department of Economics and Finance, La Trobe Business School, La Trobe UniversityBundoora, Australia;http://edirc.repec.org/data/sblatau.html;Department of Economics and Finance, La Trobe Business School, La Trobe University;31.89;41;34.83;http://ideas.repec.org/top/top.australia.html;
18;[16];La Trobe Business School, La Trobe UniversityBundoora, Australia;http://edirc.repec.org/data/smlatau.html;La Trobe Business School, La Trobe University;31.94;41;34.83;http://ideas.repec.org/top/top.australia.html;
---;[---];Department of Banking and Finance, Monash Business School, Monash UniversityCaulfield, Australia;http://edirc.repec.org/data/dfmonau.html;Department of Banking and Finance, Monash Business School, Monash University;32.44;20;19.39;http://ideas.repec.org/top/top.australia.html;
19;[19];School of Economics, Finance and Marketing, RMIT UniversityMelbourne, Australia;http://edirc.repec.org/data/dermiau.html;School of Economics, Finance and Marketing, RMIT University;33.28;25;24.02;http://ideas.repec.org/top/top.australia.html;
---;[---];Risk and Sustainable Management Group (RSMG), School of Economics, University of QueenslandBrisbane, Australia;http://edirc.repec.org/data/rsmuqau.html;Risk and Sustainable Management Group (RSMG), School of Economics, University of Queensland;34.11;7;4.52;http://ideas.repec.org/top/top.australia.html;
---;[---];School of Economics and Finance, Business School, Queensland University of TechnologyBrisbane, Australia;http://edirc.repec.org/data/sequtau.html;School of Economics and Finance, Business School, Queensland University of Technology;34.65;28;23.43;http://ideas.repec.org/top/top.australia.html;
20;[20];Tasmanian School of Business and Economics, University of TasmaniaHobart, Australia;http://edirc.repec.org/data/fbtasau.html;Tasmanian School of Business and Economics, University of Tasmania;34.72;22;18.18;http://ideas.repec.org/top/top.australia.html;
---;[---];Centre for Climate Economics and Policy (CCEP), Crawford School of Public Policy, Australian National UniversityCanberra, Australia;http://edirc.repec.org/data/creauau.html;Centre for Climate Economics and Policy (CCEP), Crawford School of Public Policy, Australian National University;34.81;15;9.87;http://ideas.repec.org/top/top.australia.html;
21;[22];National Centre for Econometric Research (NCER)Brisbane/Sydney, Australia;http://edirc.repec.org/data/ncerrau.html;National Centre for Econometric Research (NCER);34.9;7;2.83;http://ideas.repec.org/top/top.australia.html;
---;[---];Department of Economics, Business School, University of Western AustraliaPerth, Australia;http://edirc.repec.org/data/deuwaau.html;Department of Economics, Business School, University of Western Australia;35.59;14;12.15;http://ideas.repec.org/top/top.australia.html;
22;[21];Faculty of Business and Economics, Macquarie UniversitySydney, Australia;http://edirc.repec.org/data/defmqau.html;Faculty of Business and Economics, Macquarie University;37.17;32;26.94;http://ideas.repec.org/top/top.australia.html;
---;[---];School of Economics and Finance, Tasmanian School of Business and Economics, University of TasmaniaHobart, Australia;http://edirc.repec.org/data/dutasau.html;School of Economics and Finance, Tasmanian School of Business and Economics, University of Tasmania;37.95;18;15.08;http://ideas.repec.org/top/top.australia.html;
---;[---];Department of Accounting, Finance and Economics, Griffith Business School, Griffith UniversityBrisbane, Australia;http://edirc.repec.org/data/segriau.html;Department of Accounting, Finance and Economics, Griffith Business School, Griffith University;38.92;26;25.4;http://ideas.repec.org/top/top.australia.html;
23;[23];School of Agricultural and Resource Economics, University of Western AustraliaPerth, Australia;http://edirc.repec.org/data/aruwaau.html;School of Agricultural and Resource Economics, University of Western Australia;42.06;18;14.75;http://ideas.repec.org/top/top.australia.html;
---;[---];Department of Economics, Faculty of Business and Economics, Macquarie UniversitySydney, Australia;http://edirc.repec.org/data/edmqqau.html;Department of Economics, Faculty of Business and Economics, Macquarie University;45.03;21;19.5;http://ideas.repec.org/top/top.australia.html;
24;[24];School of Accounting, Economics, and Finance, University of WollongongWollongong, Australia;http://edirc.repec.org/data/deuowau.html;School of Accounting, Economics, and Finance, University of Wollongong;47.38;12;11.88;http://ideas.repec.org/top/top.australia.html;
